date,Sentiment_NLTK,Sentiment_TB,neg,neu,pos,compound,Subjectivity,Polarity
2024-02-10 20,Negative,Negative,0.309,0.691,0.0,-0.8126,0.75,-0.25
2024-02-10 17,Positive,Positive,0.0,0.9585,0.0415,0.2202,0.48333333333333334,0.3
2024-02-10 12,Neutral,Positive,0.0,0.886,0.114,0.45225,0.38506944444444446,0.13151041666666669
2024-02-10 08,Neutral,Negative,0.0,1.0,0.0,0.0,0.23333333333333334,-0.05
2024-02-10 07,Positive,Positive,0.0,0.898,0.102,0.5267,0.6522727272727273,0.043181818181818175
2024-02-10 06,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-02-10 05,Positive,Neutral,0.0,0.9493333333333333,0.050666666666666665,0.24656666666666668,0.3055555555555555,0.0
2024-02-10 04,Neutral,Positive,0.0,1.0,0.0,0.0,0.09333333333333334,0.02
2024-02-10 02,Negative,Negative,0.078,0.922,0.0,-0.3182,0.16666666666666666,-0.16666666666666666
2024-02-09 22,Negative,Positive,0.215,0.785,0.0,-0.7506,0.2609090909090909,0.017272727272727273
2024-02-09 18,Positive,Positive,0.023,0.831,0.14650000000000002,0.5561499999999999,0.44166666666666665,0.26666666666666666
2024-02-09 17,Neutral,Positive,0.0,1.0,0.0,0.0,0.6,0.3
2024-02-09 16,Neutral,Positive,0.023999999999999997,0.9493333333333333,0.02666666666666667,0.025733333333333334,0.5402777777777777,0.2333333333333333
2024-02-09 15,Neutral,Positive,0.034333333333333334,0.9396666666666667,0.026,-0.01840000000000001,0.4309523809523809,0.1349206349206349
2024-02-09 14,Negative,Neutral,0.091,0.909,0.0,-0.2235,0.5,0.0
2024-02-09 13,Negative,Positive,0.0412,0.8530000000000001,0.1058,0.24251999999999999,0.45878030303030304,0.0936590909090909
2024-02-09 12,Neutral,Negative,0.0,1.0,0.0,0.0,0.355,-0.0625
2024-02-09 11,Neutral,Negative,0.0,1.0,0.0,0.0,0.65,-0.4
2024-02-09 10,Positive,Positive,0.0,0.8489999999999999,0.151,0.6131666666666666,0.30416666666666664,0.16
2024-02-09 09,Positive,Positive,0.044000000000000004,0.8376666666666667,0.11866666666666666,0.44963333333333333,0.4623232323232323,0.08053030303030302
2024-02-09 08,Positive,Negative,0.0,0.75,0.25,0.8402,0.25,-0.25
2024-02-09 07,Neutral,Positive,0.0,1.0,0.0,0.0,0.48333333333333334,0.2833333333333333
2024-02-09 06,Neutral,Negative,0.0,0.9724999999999999,0.0275,0.1366,0.45,-0.17916666666666667
2024-02-09 04,Positive,Positive,0.0,0.898,0.102,0.5267,0.6522727272727273,0.043181818181818175
2024-02-09 02,Positive,Positive,0.0,0.9139999999999999,0.086,0.3404,0.3416666666666667,0.075
2024-02-09 01,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-02-08 21,Positive,Neutral,0.0,0.89,0.11,0.43055000000000004,0.025,0.0
2024-02-08 19,Positive,Positive,0.0,0.9460000000000001,0.054,0.2267,0.5848484848484848,0.11212121212121211
2024-02-08 16,Positive,Positive,0.0,0.8685,0.1315,0.6379,0.45359848484848486,0.2409090909090909
